Wl	R
2092	0.955
2093	0.956
2094	0.955
2095	0.954
2096	0.955
2097	0.954
2098	0.954
2099	0.954
2100	0.955
2101	0.954
2102	0.953
2103	0.954
2104	0.954
2105	0.954
2106	0.952
2107	0.954
2108	0.953
2109	0.952
2110	0.953
2111	0.953
2112	0.952
2113	0.954
2114	0.952
2115	0.953
2116	0.951
2117	0.950
2118	0.952
2119	0.952
2120	0.951
2121	0.950
2122	0.953
2123	0.950
2124	0.950
2125	0.951
2126	0.950
2127	0.951
2128	0.951
2129	0.948
2130	0.948
2131	0.950
2132	0.950
2133	0.948
2134	0.950
2135	0.949
2136	0.949
2137	0.949
2138	0.947
2139	0.948
2140	0.948
2141	0.950
2142	0.949
2143	0.950
2144	0.949
2145	0.950
2146	0.949
2147	0.952
2148	0.948
2149	0.951
2150	0.950
2151	0.951
2152	0.948
2153	0.953
2154	0.953
2155	0.951
2156	0.953
2157	0.954
2158	0.955
2159	0.953
2160	0.953
2161	0.951
2162	0.954
2163	0.953
2164	0.954
2165	0.957
2166	0.955
2167	0.955
2168	0.956
2169	0.959
2170	0.959
2171	0.957
2172	0.958
2173	0.959
2174	0.957
2175	0.958
2176	0.960
2177	0.960
2178	0.960
2179	0.962
2180	0.960
2181	0.962
2182	0.961
2183	0.962
2184	0.963
2185	0.962
2186	0.963
2187	0.963
2188	0.962
2189	0.963
2190	0.965
2191	0.965
2192	0.965
2193	0.965
2194	0.965
2195	0.965
2196	0.965
2197	0.966
2198	0.966
2199	0.966
2200	0.966
2201	0.966
2202	0.967
2203	0.970
2204	0.966
2205	0.966
2206	0.964
2207	0.966
2208	0.966
2209	0.968
2210	0.967
2211	0.967
2212	0.967
2213	0.967
2214	0.967
2215	0.968
2216	0.969
2217	0.968
2218	0.969
2219	0.969
2220	0.968
2221	0.969
2222	0.967
2223	0.967
2224	0.968
2225	0.969
2226	0.967
2227	0.968
2228	0.970
2229	0.969
2230	0.968
2231	0.968
2232	0.969
2233	0.970
2234	0.968
2235	0.968
2236	0.966
2237	0.966
2238	0.968
2239	0.970
2240	0.969
2241	0.967
2242	0.968
2243	0.969
2244	0.968
2245	0.968
2246	0.967
2247	0.968
2248	0.968
2249	0.968
2250	0.967
2251	0.967
2252	0.967
2253	0.968
2254	0.968
2255	0.969
2256	0.966
2257	0.965
2258	0.967
2259	0.968
2260	0.966
2261	0.965
2262	0.966
2263	0.966
2264	0.965
2265	0.966
2266	0.966
2267	0.967
2268	0.966
2269	0.966
2270	0.967
2271	0.966
2272	0.965
2273	0.968
2274	0.967
2275	0.967
2276	0.968
2277	0.967
2278	0.965
2279	0.963
2280	0.965
2281	0.965
2282	0.965
2283	0.964
2284	0.966
2285	0.966
2286	0.965
2287	0.964
2288	0.963
2289	0.964
2290	0.964
2291	0.965
2292	0.964
2293	0.962
2294	0.964
2295	0.964
2296	0.961
2297	0.962
2298	0.960
2299	0.961
2300	0.963
2301	0.963
2302	0.962
2303	0.961
2304	0.961
2305	0.960
2306	0.960
2307	0.961
2308	0.961
2309	0.961
2310	0.961
2311	0.961
2312	0.961
2313	0.961
2314	0.959
2315	0.959
2316	0.958
2317	0.960
2318	0.961
2319	0.960
2320	0.959
2321	0.959
2322	0.959
2323	0.959
2324	0.958
2325	0.959
2326	0.959
2327	0.958
2328	0.956
2329	0.957
2330	0.959
2331	0.956
2332	0.957
2333	0.958
2334	0.957
2335	0.956
2336	0.957
2337	0.956
2338	0.954
2339	0.953
2340	0.952
2341	0.955
2342	0.955
2343	0.955
2344	0.957
2345	0.955
2346	0.954
2347	0.953
2348	0.954
2349	0.954
2350	0.952
